D,pad,shield,freq
0.1,0.6,1.35,40.68
0.1,0.6,1.35,40.69
0.1,0.6,1.35,40.7
0.1,0.6,1.35,40.71
0.1,0.6,1.35,40.72
0.1,0.6,1.35,40.73
0.1,0.6,1.35,40.74
0.1,0.6,1.35,40.75
0.1,0.6,1.35,40.76
0.1,0.6,1.35,40.77
0.1,0.6,1.35,40.78
0.1,0.6,1.35,40.79
0.1,0.6,1.35,40.8
0.1,0.6,1.35,40.81
0.1,0.6,1.35,40.82
0.1,0.6,1.35,40.83
0.1,0.6,1.35,40.84
0.1,0.6,1.35,40.85
0.1,0.6,1.35,40.86
0.1,0.6,1.35,40.87
0.1,0.6,1.35,40.88
0.1,0.6,1.35,40.89
0.1,0.6,1.35,40.9
0.1,0.6,1.35,40.91
0.1,0.6,1.35,40.92
0.1,0.6,1.35,40.93
0.1,0.6,1.35,40.94
0.1,0.6,1.35,40.95
0.1,0.6,1.35,40.96
0.1,0.6,1.35,40.97
0.1,0.6,1.35,40.98
0.1,0.6,1.35,40.99
0.1,0.6,1.35,41
0.1,0.6,1.4,37
0.1,0.6,1.4,37.01
0.1,0.6,1.4,37.02
0.1,0.6,1.4,37.03
0.1,0.6,1.4,37.04
0.1,0.6,1.4,37.05
0.1,0.6,1.4,37.06
0.1,0.6,1.4,37.07
0.1,0.6,1.4,37.08
0.1,0.6,1.4,37.09
0.1,0.6,1.4,37.1
0.1,0.6,1.4,37.11
0.1,0.6,1.4,37.12
0.1,0.6,1.4,37.13
0.1,0.6,1.4,37.14
0.1,0.6,1.4,37.15
0.1,0.6,1.4,37.16
0.1,0.6,1.4,37.17
0.1,0.6,1.4,37.18
0.1,0.6,1.4,37.19
0.1,0.6,1.4,37.2
0.1,0.6,1.4,37.21
0.1,0.6,1.4,37.22
0.1,0.6,1.4,37.23
0.1,0.6,1.4,37.24
0.1,0.6,1.4,37.25
0.1,0.6,1.4,37.26
0.1,0.6,1.4,37.27
0.1,0.6,1.4,37.28
0.1,0.6,1.4,37.29
0.1,0.6,1.4,37.3
0.1,0.6,1.4,37.31
0.1,0.6,1.4,37.32
0.1,0.6,1.4,37.33
0.1,0.6,1.4,37.34
0.1,0.6,1.4,37.35
0.1,0.6,1.4,37.36
0.1,0.6,1.4,37.37
0.1,0.6,1.4,37.38
0.1,0.6,1.4,37.39
0.1,0.6,1.4,37.4
0.1,0.6,1.4,37.41
0.1,0.6,1.4,37.42
0.1,0.6,1.4,37.43
0.1,0.6,1.4,37.44
0.1,0.6,1.4,37.45
0.1,0.6,1.4,37.46
0.1,0.6,1.4,37.47
0.1,0.6,1.4,37.48
0.1,0.6,1.4,37.49
0.1,0.6,1.4,37.5
0.1,0.6,1.4,37.51
0.1,0.6,1.4,37.52
0.1,0.6,1.4,37.53
0.1,0.6,1.4,37.54
0.1,0.6,1.4,37.55
0.1,0.6,1.4,37.56
0.1,0.6,1.4,37.57
0.1,0.6,1.4,37.58
0.1,0.6,1.4,37.59
0.1,0.6,1.4,37.6
0.1,0.6,1.4,37.61
0.1,0.6,1.4,37.62
0.1,0.6,1.4,37.63
0.1,0.6,1.4,37.64
0.1,0.6,1.4,37.65
0.1,0.6,1.4,37.66
0.1,0.6,1.4,37.67
0.1,0.6,1.4,37.68
0.1,0.6,1.4,37.69
0.1,0.6,1.4,37.7
0.1,0.6,1.4,37.71
0.1,0.6,1.4,37.72
0.1,0.6,1.4,37.73
0.1,0.6,1.4,37.74
0.1,0.6,1.4,37.75
0.1,0.6,1.4,37.76
0.1,0.6,1.4,37.77
0.1,0.6,1.4,37.78
0.1,0.6,1.4,37.79
0.1,0.6,1.4,37.8
0.1,0.6,1.4,37.81
0.1,0.6,1.4,37.82
0.1,0.6,1.4,37.83
0.1,0.6,1.4,37.84
0.1,0.6,1.4,37.85
0.1,0.6,1.4,37.86
0.1,0.6,1.4,37.87
0.1,0.6,1.4,37.88
0.1,0.6,1.4,37.89
0.1,0.6,1.4,37.9
0.1,0.6,1.4,37.91
0.1,0.6,1.4,37.92
0.1,0.6,1.4,37.93
0.1,0.6,1.4,37.94
0.1,0.6,1.4,37.95
0.1,0.6,1.4,37.96
0.1,0.6,1.4,37.97
0.1,0.6,1.4,37.98
0.1,0.6,1.4,37.99
0.1,0.6,1.4,38
0.1,0.6,1.4,38.01
0.1,0.6,1.4,38.02
0.1,0.6,1.4,38.03
0.1,0.6,1.4,38.04
0.1,0.6,1.4,38.05
0.1,0.6,1.4,38.06
0.1,0.6,1.4,38.07
0.1,0.6,1.4,38.08
0.1,0.6,1.4,38.09
0.1,0.6,1.4,38.1
0.1,0.6,1.4,38.11
0.1,0.6,1.4,38.12
0.1,0.6,1.4,38.13
0.1,0.6,1.4,38.14
0.1,0.6,1.4,38.15
0.1,0.6,1.4,38.16
