D [mm],coax_inside [mm],QCOAX_D [mm],freq
0.1,0.1,0.65,61.72
0.1,0.1,0.65,61.73
0.1,0.1,0.65,61.74
0.1,0.1,0.65,61.75
0.1,0.1,0.65,61.76
0.1,0.1,0.65,61.77
0.1,0.1,0.65,61.78
0.1,0.1,0.65,61.79
0.1,0.1,0.65,61.8
0.1,0.1,0.65,61.81
0.1,0.1,0.65,61.82
0.1,0.1,0.65,61.83
0.1,0.1,0.65,61.84
0.1,0.1,0.65,61.85
0.1,0.1,0.65,61.86
0.1,0.1,0.65,61.87
0.1,0.1,0.65,61.88
0.1,0.1,0.65,61.89
0.1,0.1,0.65,61.9
0.1,0.1,0.65,61.91
0.1,0.1,0.65,61.92
0.1,0.1,0.65,61.93
0.1,0.1,0.65,61.94
0.1,0.1,0.65,61.95
0.1,0.1,0.65,61.96
0.1,0.1,0.65,61.97
0.1,0.1,0.65,61.98
0.1,0.1,0.65,61.99
0.1,0.1,0.65,62
0.1,0.1,0.65,62.01
0.1,0.1,0.65,62.02
0.1,0.1,0.65,62.03
0.1,0.1,0.65,62.04
0.1,0.1,0.65,62.05
0.1,0.1,0.65,62.06
0.1,0.1,0.65,62.07
0.1,0.1,0.65,62.08
0.1,0.1,0.65,62.09
0.1,0.1,0.65,62.1
0.1,0.1,0.65,62.11
0.1,0.1,0.65,62.12
0.1,0.1,0.65,62.13
0.1,0.1,0.65,62.14
0.1,0.1,0.65,62.15
0.1,0.1,0.65,62.16
0.1,0.1,0.65,62.17
0.1,0.1,0.65,62.18
0.1,0.1,0.65,62.19
0.1,0.1,0.65,62.2
0.1,0.1,0.65,62.21
0.1,0.1,0.65,62.22
0.1,0.1,0.65,62.23
0.1,0.1,0.65,62.24
0.1,0.1,0.65,62.25
0.1,0.1,0.65,62.26
0.1,0.1,0.65,62.27
0.1,0.1,0.65,62.28
0.1,0.1,0.65,62.29
0.1,0.1,0.65,62.3
0.1,0.1,0.65,62.31
0.1,0.1,0.65,62.32
0.1,0.1,0.65,62.33
0.1,0.1,0.65,62.34
0.1,0.1,0.65,62.35
0.1,0.1,0.65,62.36
0.1,0.1,0.65,62.37
0.1,0.1,0.65,62.38
0.1,0.1,0.65,62.39
0.1,0.1,0.65,62.4
0.1,0.1,0.65,62.41
0.1,0.1,0.65,62.42
0.1,0.1,0.65,62.43
0.1,0.1,0.65,62.44
0.1,0.1,0.65,62.45
0.1,0.1,0.65,62.46
0.1,0.1,0.65,62.47
0.1,0.1,0.65,62.48
0.1,0.1,0.65,62.49
0.1,0.1,0.65,62.5
0.1,0.1,0.65,62.51
0.1,0.1,0.65,62.52
